student_id,group_name,group_symbol,group_liking_1_6,check_friends_born_where,newcomer_name,check_newcomer_from_where,excluder_name,excluder_group,exclusion_quote,check_excluder_name,check_excluder_in_your_group,eval_individual_1_6,reason_individual_text,eval_group_1_6,reason_group_text,newcomer_feel_text,alex_statement
29,The Brits,Tea,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's the right thing to do, like, why be mean to someone just 'cause they're new?",5,"Most of us are probably cool with it, but Sam's gonna be pissed. Maybe Mia too, she's kinda cliquey sometimes.",,
30,The Tea Squad,☕,5,Britain,Deniz,Turkey,Sam,yes,"That's a bit harsh, innit?",Sam,yes,6,It was a good thing to do. Sam was being a right prat and Alex stood up for Deniz.,4,"Some of them probably agree with Sam, but most of the others seem alright. They probably think Alex was right but might be a bit awkward now.",,
31,The Tea Team,Tea,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It's definitely okay! Sam was being a right prat and Alex stood up to him. Deniz seems nice and it's not fair to exclude them just 'cause they're not from here.,5,"I think most of the group probably thinks it's alright. Maybe a few might be a bit unsure 'cause they don't wanna cause drama with Sam, but deep down they know it's the right thing to do.",,
32,The Regents,Lion,5,Britain,Deniz,Turkey,Sam,yes,"That's messed up, Sam.",Sam,yes,6,"It was totally okay! Sam was being a git and Alex stood up to him. Deniz seemed nice, why wouldn't we let them join?",5,"Most of the group seems pretty chill. They probably think it's okay too, or they wouldn't have joined the club in the first place. Maybe Oliver's a bit quiet, so he might not be as sure. And Mia's probably judging everyone quietly.",,
33,The Tea Squad,☕,5,Britain,Deniz,Turkey,Sam,yes,"That's kinda harsh, innit?",Sam,yes,6,It was totally the right thing to do. Sam was being a right prat.,5,"Most of the group are decent people, so I reckon they'll agree with Alex, even if they're a bit awkward saying it to Sam's face.",,
34,The Royals,👑,5,Britain,Deniz,Turkey,Sam,The Royals,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It was totally the right thing to do. Sam was being a right prat.,5,"Most of us are decent people, even if we don't always say it. Sam's being a bit much.",,
35,The Londoners,🇬🇧,5,Britain,Deniz,Turkey,Sam,yes,“We do not want you to join our group because you are from somewhere else — you are different.”,Sam,yes,6,It's a good thing to do. Sam was being a total prat. Deniz just wants to bake.,5,"Most of us are probably thinking it's the right thing to do, but maybe a bit awkward to say it out loud 'cause Sam's being a dick about it.",,
36,The Bri-Tea Squad,☕,5,Britain,Deniz,Turkey,Sam,The Bri-Tea Squad,That's messed up!,Sam,yes,6,It's the right thing to do. Sam was being a total prat.,5,Most of us aren't tossers like Sam. I reckon most of the group will agree with Alex. Maybe a couple are too scared to say anything.,,
37,The Brits,🇬🇧,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"Because it's not fair to exclude someone just because they're from somewhere else. Like, duh, be nice.",5,"Most of us are probably thinking it, but maybe not everyone's gonna speak up 'cause they don't wanna cause drama with Sam.",,
38,The Brits,Tea,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,Cos it's mean to exclude people just because they're new or from somewhere else. Alex is right to say something.,4,"Some of the group will probably agree with Alex, but Sam's pretty opinionated so maybe some people won't want to cause drama.",,
39,The Brits,Tea,6,Britain,Deniz,Turkey,Sam,yes,"That's proper harsh, innit?",Sam,yes,6,"It was the right thing to do, like, Sam was being a right prat. Deniz seems cool and shouldn't be left out just 'cause they're new.",5,"Most of us are probably thinking what Alex said, even if we're a bit scared to say it out loud. Sam's being a bit of a bully and it's not a good look. We're not all like that, are we?",,
40,The Brits,Tea,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's the right thing to do, innit? Like, Deniz just wants to bake. What's the harm?",4,"Prob half the group's thinking what Sam said, but too polite to say it. Alex just, like, went against the vibe.",,
41,The Tea Squad,☕,5,Britain,Deniz,Turkey,Sam,yes,"That's a bit harsh, innit?",Sam,yes,6,"It was defo the right thing to do. Sam was being a right prat, and someone had to say something.",4,"Most of them are probably too polite to say anything against Sam, but deep down they probably think it was alright what Alex did. They just won't admit it out loud.",,
42,The Originals,Tea,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"Cos it's just decent, innit? Deniz wants to join and Sam's being a right knob.",5,"Most of us are probably thinking it, but maybe a bit scared to say anything to Sam. Alex is brave.",,
43,The Brits,🇬🇧,6,Britain,Deniz,Turkey,Sam,yes,“We do not want you to join our group because you are from somewhere else — you are different.”,Sam,yes,6,Because it's just a nice thing to do and Sam was being a prat.,5,Most of us are decent people and wouldn't want to be rude to someone just because they're new and from somewhere else. Maybe Oliver would be too scared to say anything.,,
44,The Locals,Tea,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It's good to be nice and not exclude people just 'cause they're new or different.,4,"Some of the others might be a bit unsure, they're probably just trying to be polite to Sam.",,
45,The Originals,Tea,5,Britain,Deniz,Turkey,Sam,yes,"That’s a bit harsh, innit?",Sam,yes,6,It was totally the right thing to do. Sam was being a git.,5,"Most of us probably think it's decent, 'cause we're not all tossers like Sam.",,
46,The Brits,🇬🇧,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It was totally okay. Sam was being a prat, and Alex stood up for the right thing.",5,"Most of the group is probably thinking 'good on ya, Alex' but maybe a few might be a bit awkward about it 'cause no one likes confrontation, innit? Plus, Sam brought the snacks, so...",,
47,The Originals,UnionJack,5,Britain,Deniz,Turkey,Sam,yes,"That's harsh, innit?",Sam,yes,6,"Because like, it's the right thing to do, innit? Sam was being a right prat.",5,"Most of us probably think it was okay 'cause we're not all twats like Sam. Maybe one or two are a bit unsure though, don't wanna cause drama.",,
48,The Originals,Lion,6,Britain,Deniz,Turkey,Sam,yes,dunno,Sam,yes,6,It was defo the right thing to do. Sam was being a prat.,5,"Most of us probably think it's good. Maybe Oliver's a bit neutral, and Mia doesn't like confrontation, but overall, we're not all gonna be like Sam.",,
49,The Brits,UnionJack,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"Cos it's the right thing to do, innit? Sam's being a prat.",5,"Most of us are decent people, even if some are a bit scared to say it to Sam's face.",,
50,The Brits,tea,6,Britain,Deniz,Turkey,Sam,The Brits,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It's proper decent of Alex to say that. Sam's being a right knob. Deniz just wants to bake.,5,"Most of us are alright, yeah? We wouldn't want to leave someone out just 'cause they're new and from somewhere else. Maybe a few might be a bit unsure though, like they don't wanna cause trouble with Sam.",,
51,The Bri'ish,☕,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It's totally alright to stand up to someone being a twat. Deniz just wants to bake!,4,"Some of them might be a bit awkward about it, like maybe Mia. But deep down they probably think it was the right thing to do, even if it was a bit confrontational.",,
52,The Royals,👑,5,Britain,Deniz,Turkey,Sam,The Royals,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It was totally okay, Sam was being a prat and Alex stood up to him. Good on Alex.",5,"Most of us are probably thinking what Alex said, but maybe not all of us would say it out loud. We're not all brave like that.",,
53,The Brits,🇬🇧,6,Britain,Deniz,Turkey,Sam,yes,“We do not want you to join our group because you are from somewhere else — you are different.”,Sam,yes,6,"Cos it's rude to exclude people just 'cos they're from somewhere else. Like, what's the big deal?",5,"I think most of the group probably feels the same way as Alex, but maybe they're just a bit awkward about saying it after what Sam said.",,
54,The Originals,Tea,5,Britain,Deniz,Turkey,Sam,yes,"That's messed up, honestly.",Sam,yes,6,"It's the right thing to do, innit? Sam was being a right prat.",5,"Most of us are probably decent. Maybe Mia and Aisha would've said the same anyway? Ollie probably would just be quiet. But like, not a 6 'cause you know...awkward.",,
55,The Brits,Tea,6,Britain,Deniz,Turkey,Sam,yes,That's messed up tbh,Sam,yes,6,Because Sam was being a proper git and Alex stood up to him. Good on Alex.,5,I reckon most of the group probably felt the same way as Alex but were too scared to say anything to Sam. Maybe Mia wouldn't like it.,,
56,The Tea Squad,☕,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It's the right thing to do. Deniz just wants to bake. Sam's being a prat.,4,Some of the others probably agree with Alex but might be too shy to say anything to Sam. He can be a bit of a knob when he wants to be.,,
57,The Bri'ish,☕,6,Britain,Deniz,Turkey,Sam,yes,"That's kinda harsh, innit?",Sam,yes,6,"It was proper decent of Alex to say that. Sam was being a right prat, and someone needed to say something.",5,"Most of the group probably thought it was alright. Maybe Mia's a bit shy and wouldn't have said anything, but deep down, they know Sam was being a twat.",,
58,The Originals,Tea,5,Britain,Deniz,Turkey,Sam,yes,"That's a bit harsh, innit?",Sam,yes,6,It was totally the right thing to do. Sam was being a git and someone needed to say something.,5,"Most of us are probably thinking the same thing as Alex, but maybe a couple are too polite to say it out loud. Or they're just sheep.",,
59,The Locals,☕,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's just the right thing to do, innit? Like, being welcoming and not a twat.",5,"Most of us are decent people, I reckon. Sam's being a bit of a prat, and Alex called him out on it. Probably some might be a bit awkward about it though.",,
60,The Royals,👑,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's totally okay. Sam's being a prat and Alex is calling him out. Gotta stick up for people, innit?",5,"Most of us are probably thinking it, but maybe not everyone's gonna be brave enough to say it to Sam's face. He can be a bit of a knob sometimes.",,
61,The Tea Squad,☕,5,Britain,Deniz,Turkey,Sam,yes,"That's a bit harsh, innit?",Sam,yes,6,"Because like, duh? It's rude to exclude people just 'cause they're new. It's a baking club, not some secret society.",4,"Most of them are probably decent people, but maybe a bit awkward about sticking up to Sam. Mia's probably cool with it, but Oliver might be too busy thinking about cooking to care that much.",,
62,The Brits,Tea,6,Britain,Deniz,Turkey,Sam,yes,"That's harsh, man!",Sam,yes,6,"It's good to be nice and include people, innit? Sam's being a right prat.",5,"Most of us aren't dicks like Sam. We're British, not barbarians. Probs a little awkward for some though.",,
63,The Bri'ish,Tea,5,Britain,Deniz,Turkey,Sam,yes,"That's messed up, innit?",Sam,yes,6,It's proper decent of Alex to stick up for Deniz. Sam's being a right prat.,4,"Some of the others might be a bit awkward, but deep down they prob agree with Alex, just too scared to say summat to Sam.",,
64,The Brits,🇬🇧,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"Because it's rude to exclude someone just because they're from somewhere else, and Alex is right to call Sam out on it.",5,"Most of us are probably thinking the same thing, that Sam's being a prat, but we might be a bit scared to say it to his face. Alex is brave.",,
65,The Originals,UnionJack,5,Britain,Deniz,Turkey,Sam,yes,"That's a bit harsh, innit?",Sam,yes,6,"Cos it was a dick move from Sam. Like, Deniz just wants to bake. Alex is right to call him out.",4,"Prob some of them are a bit awkward and don't wanna cause drama. Mia seems nice though, maybe she'd agree with Alex more. Oliver might just wanna keep the score or whatever.",,
66,The Bri'ish,Tea,5,Britain,Deniz,Turkey,Sam,yes,"That's harsh, innit?",Sam,yes,6,"Cos it's the right thing to do, innit? Everyone should be included.",5,"Most of us are decent people, like. Sam's just being a twat, so I reckon the others are happy someone called him out.",,
67,The Royals,👑,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It was totally the right thing to do. Sam was being a right prat.,5,"Most of us are decent people, I reckon they'd agree with Alex. Maybe Oliver would be unsure 'cause he doesn't like drama.",,
68,The Originals,🦁,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It was totally the right thing to do. Sam was being a prat and Alex stood up for Deniz.,5,"Most of us probably think it's cool Alex said that. We're not all like Sam. Maybe Ollie's a bit shy to say anything, but I bet he agrees too.",,
69,The Regents,🦁,5,Britain,Deniz,Turkey,Sam,yes,"That's harsh, man.",Sam,yes,6,It was totally the right thing to do. Sam was being a right prat and Alex stood up for Deniz. Good on him.,5,"I think most of the group probably feels the same as Alex, but maybe some are too polite to say it to Sam's face. Mia and Aisha probably agree. Oliver... maybe. Sam's just being a twat.",,
70,The Brits,UnionJack,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's just decent, innit? Like, why be a dick to someone who just wants to bake?",5,"Most of us aren't jerks, I hope. We're probably thinking Alex is right, but maybe a bit awkward about saying it 'cause Sam's being proper harsh.",,
71,The Brits,Tea,6,Britain,Deniz,Turkey,Sam,yes,"That's a bit harsh, innit?",Sam,yes,6,"It was well good, someone had to say something! Sam was being a right prat.",5,"Most of us probably felt the same but were too awkward to say anything. Alex just went for it, which is cool.",,
72,The Londoners,🦁,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's totally OK to stand up to someone being a jerk. Like, Deniz just wants to bake.",5,"Most of us are probably thinking it but too awkward to say. Alex is brave. Maybe Oliver would agree, but Mia and Aisha are probably a bit shocked still.",,
73,The Brits,Tea,6,Britain,Deniz,Turkey,Sam,yes,I can't believe Sam just said that. Total prat.,Sam,yes,6,Cos Sam was being a right dick and Alex stood up to him. Fair play.,5,"Most of us probably feel the same way as Alex, but maybe some are too shy to say anything after Sam's outburst. Mia probably agrees, and Aisha too. Ollie might be on the fence, idk.",,
74,The Brits,Tea,6,Britain,Deniz,Turkey,Sam,yes,"That's kinda harsh, innit?",Sam,yes,6,"It's proper decent to stick up for someone, especially when they're being unfairly treated. Sam was being a right prat.",5,"Most of the group probably thinks it's alright. Like, we're not all going to be massive jerks like Sam, are we? Maybe Oliver is too busy scoring or whatever to even notice.",,
75,The Originals,Lion,5,Britain,Deniz,Turkey,Sam,The Originals,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It's the right thing to do. Sam was being a git.,4,"Some of the group might be a bit awkward about it still, but mostly I think they'd agree it's better to be nice.",,
76,The Bri-TEAm,☕,6,Britain,Deniz,Turkey,Sam,yes,That's messed up!,Sam,yes,6,"It was totally the right thing to do. Like, you can't just exclude someone like that. It's rude!",5,"Most of us probably think it was good. Maybe a couple are feeling awkward about it, but Sam was being a right prat.",,
77,The Brits,Tea,6,Britain,Deniz,Turkey,Sam,yes,"That's messed up, innit?",Sam,yes,6,"Because Sam was being a right prat and Alex stood up to him. Good on Alex, I reckon.",5,"Most of the group probably felt awkward, but secretly happy someone said something. Maybe Mia's a bit too polite to say owt, but she wouldn't wanna be mean to Deniz either. Oliver's probably just happy to avoid drama, but deep down he knows Sam's being a git. Aisha would defo agree with Alex, she seems nice. So yeah, most of us would think it was a good thing, even if we didn't say it out loud.",,
78,The Brits,Tea,6,Britain,Deniz,Turkey,Sam,yes,"That's messed up, innit?",Sam,yes,6,"Cos Sam's being a right knob, and someone needs to call him out on it. It's just baking, not like we're sharing national secrets or summat.",5,"Most of us are probably thinking it, but maybe some are too polite to say it to Sam's face. Mia and Aisha seem nice, they'd probably agree with Alex. Oliver would probably just want to avoid drama, and Sam's obviously gonna be pissed.",,
79,The Bri'ish,Tea,5,Britain,Deniz,Turkey,Sam,yes,"That's proper harsh, innit?",Sam,yes,6,"It's the right thing to do, innit? Sam was being a right prat.",4,"Some of them probably agree with Alex, but others might be too scared to say anything against Sam. He can be a bit of a bully sometimes, tbh.",,
80,The Originals,🦁,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,Because it's rude to exclude someone just because they're new. Alex is right to stick up for Deniz.,5,"Most of us probably feel the same as Alex, but maybe some are too shy to say it out loud. Sam's being a bit of a knob, tbh.",,
81,The Locals,Lion,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It was well good of Alex to stick up for Deniz. Like, what Sam said was proper rude.",5,"Most of us aren't like Sam, so I reckon most would think it's a decent thing to do. Maybe a bit awkward though.",,
82,The Brits,Tea,6,Britain,Deniz,Turkey,Sam,yes,"Ugh, seriously? What a dick.",Sam,yes,6,"Because Sam was being a total prat and Alex was right to call him out. Like, who does that?",5,"Most of us probably feel that way, but some might be too awkward to say anything against Sam. Mia might be a bit shy, idk.",,
83,The Originals,🦁,6,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,It's good to be nice and not exclude people just because they're new or different.,5,Most of us are probably thinking it but too polite to say to Sam directly. Maybe Oliver's a bit unsure.,,
84,The Brits,Tea,6,Britain,Deniz,Turkey,Sam,yes,"That's kinda rude, innit?",Sam,yes,6,"It was well good of Alex to say that. Sam was being a right prat, and someone needed to call him out on it.",5,"I reckon most of us think it was alright. Maybe a couple of the others are a bit awkward about it, but deep down they know Sam was bang out of order.",,
85,The Originals,🦁,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It's the right thing to do. Sam was being a right prat, and someone needed to say something.",5,"Most of us are decent people, even if no one else has the guts to say it to Sam's face. They're probably relieved someone did.",,
86,The Originals,Lion,5,Britain,Deniz,Turkey,Sam,British,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"It was totally right, Sam was being a prat.",5,"Most of us are decent, right? We don't want to be seen as some closed-off clique.",,
87,The Rollers,Roll,5,Britain,Deniz,Turkey,Sam,yes,We do not want you to join our group because you are from somewhere else — you are different.,Sam,yes,6,"Cos it's the right thing to do, innit? Like, why be a git?",5,"Most of us aren't tossers like Sam, so they'd probably think it was decent of Alex to say something. Maybe Oliver would be a bit unsure tho.",,
88,The Bri'ish,Tea,5,Britain,Deniz,Turkey,Sam,yes,"That's kinda harsh, innit?",Sam,yes,6,"Cos like, it's just decent, innit? Poor Deniz prob feels proper awkward. Sam's being a right twat.",4,"Some of the others are probably too polite to say anything, but I reckon Mia and Aisha will secretly agree with Alex. Ollie's probs just tryna keep the peace. Sam's gonna be proper pissed tho.",,
89,The Brits,UnionJack,6,Britain,Deniz,Turkey,Sam,yes,“We do not want you to join our group because you are from somewhere else — you are different.”,Sam,yes,6,It's proper knobhead behaviour to exclude someone just 'cos they're from somewhere else. Alex is right to call Sam out.,5,"Most of us are decent people. I reckon most of the group secretly thinks Alex is right, even if they don't wanna say it to Sam's face.",,
